credit_id,department,gender,id,job,name
52fe48009251416c750aca23,Editing,0,1721,Editor,Stephen E. Rivkin
539c47ecc3a36810e3001f87,Art,2,496,Production Design,Rick Carter
54491c89c3a3680fb4001cf7,Sound,0,900,Sound Designer,Christopher Boyes
539c4a4cc3a36810c9002101,Production,1,1262,Casting,Mali Finn
5544ee3b925141499f0008fc,Sound,2,1729,Original Music Composer,James Horner
52fe48009251416c750ac9c3,Directing,2,2710,Director,James Cameron
539c4987c3a36810ba0021a4,Art,2,7236,Art Direction,Andrew Menzies
549598c3c3a3686ae9004383,Visual Effects,0,6690,Visual Effects Producer,Jill Brooks
52fe48009251416c750aca4b,Production,1,6347,Casting,Margery Simkin
570b6f419251417da70032fe,Art,2,6878,Supervising Art Director,Kevin Ishioka
5495a0fac3a3686ae9004468,Sound,0,6883,Music Editor,Dick Bernstein
54959706c3a3686af3003e81,Sound,0,8159,Sound Effects Editor,Shannon Mills
54491d58c3a3680fb1001ccb,Sound,0,8160,Foley,Dennie Thorpe
54491d6cc3a3680fa5001b2c,Sound,0,8163,Foley,Jana Vance
52fe48009251416c750aca57,Costume & Make-Up,1,8527,Costume Design,Deborah Lynn Scott
52fe48009251416c750aca2f,Production,2,8529,Producer,Jon Landau
539c4937c3a36810ba002194,Art,0,9618,Art Direction,Sean Haworth
539c49b6c3a36810c10020e6,Art,1,12653,Set Decoration,Kim Sinclair
54491a6c0e0a26748c001b19,Art,2,14350,Set Designer,Richard F. Mays
56928cf4c3a3684cff0025c4,Production,1,20294,Executive Producer,Laeta Kalogridis
52fe48009251416c750aca51,Costume & Make-Up,0,17675,Costume Design,Mayes C. Rubeo
52fe48009251416c750aca11,Camera,2,18265,Director of Photography,Mauro Fiore
5449194d0e0a26748f001b39,Art,0,42281,Set Designer,Scott Herbertson
52fe48009251416c750aca05,Crew,0,42288,Stunts,Woody Schultz
5592aefb92514152de0010f5,Costume & Make-Up,0,29067,Makeup Artist,Linda DeVetta
54959ed592514130fc002e5d,Camera,2,33302,Camera Operator,Richard Bluck
539c4891c3a36810ba002147,Art,2,33303,Art Direction,Simon Bright
54959c069251417a81001f3a,Visual Effects,0,113145,Visual Effects Supervisor,Richard Martin
54959a0dc3a3680ff5002c8d,Crew,2,58188,Visual Effects Editor,Steve R. Moore
52fe48009251416c750aca1d,Editing,2,58871,Editor,John Refoua
54491a4dc3a3680fc30018ca,Art,0,92359,Set Designer,Karl J. Martin
52fe48009251416c750aca35,Camera,1,72201,Director of Photography,Chiling Lin
